v_products_model,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_last_modified,v_specials_expires_date,v_products_price,v_products_weight,v_last_modified,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_categories_name_2,v_categories_name_3,v_categories_name_4,v_categories_name_5,v_categories_name_6,v_categories_name_7,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
Feature: Exquisite Design, Sexy Curves, High quality & so comfortable to wear.
",,14,,0001-01-01,20,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 030,sexylingerie-us/sexylingerie/7560.jpg,Womens Sexy Lace Lingerie Black,"Product Name: <strong>Womens Sexy Lace Lingerie Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Gorgeous Lace Thong with Two Large Bijous on the Front.
",,14,,0001-01-01,20,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 031,sexylingerie-us/sexylingerie/7562.jpg,Sexy Lace Thong Black,"Product Name: <strong>Sexy Lace Thong Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Lace<br>
Feature: Sexy Lace Lingerie, Hot Short. High Quality Product.
",,17.5,,0001-01-01,25,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 032,sexylingerie-us/sexylingerie/7563.jpg,Sexy Mesh Thong Black,"Product Name: <strong>Sexy Mesh Thong Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Gorgeous fishnet style front string with beautiful Crystal V-jewels on back.
",,14,,0001-01-01,20,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 033,sexylingerie-us/sexylingerie/7565-2.jpg,Sexy Leopard C-String Black,"Product Name: <strong>Sexy Leopard C-String Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Plastic<br>
Feature: Sexy Lingerie, Hot C-String. High Quality Product.
",,14,,0001-01-01,20,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 034,sexylingerie-us/sexylingerie/7566.jpg,Sexy Lace C-String Black,"Product Name: <strong>Sexy Lace C-String Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Plastic<br>
Feature: Sexy Lace Lingerie, Hot C-String. High Quality Product.
",,14,,0001-01-01,20,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 035,sexylingerie-us/sexylingerie/7568.jpg,Madame Butterfly Thong Red,"Product Name: <strong>Madame Butterfly Thong Red</strong><br>
Colors: Red<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Sexy Lace Lingerie, Fashion Madame Butterfly Thong. High Quality Product.
",,9.8,,0001-01-01,12,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 036,sexylingerie-us/sexylingerie/7571.jpg,Womens Sexy Lingerie Silver Black,"Product Name: <strong>Womens Sexy Lingerie Silver Black</strong><br>
Colors: Silver/Black<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Hot Lingerie, Hearts and Swarovski Crystals.
",,14,,0001-01-01,20,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 037,sexylingerie-us/sexylingerie/7574.jpg,Womens Sexy Lingerie Silver Red,"Product Name: <strong>Womens Sexy Lingerie Silver Red</strong><br>
Colors: Silver/Red<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Sexy Lingerie, Hot Short. High Quality Product.
",,14,,0001-01-01,20,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 038,sexylingerie-us/sexylingerie/7575-1.jpg,Womens Fashion Lingerie Sivler White,"Product Name: <strong>Womens Fashion Lingerie Silver White</strong><br>
Colors: Silver/White<br>
Sizes: One Size Fits Most<br>
Materials: Sequin<br>
Feature: Womens Fashion Lingerie, Sexy Short. High Quality Product.
",,16.8,,0001-01-01,24,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 039,sexylingerie-us/sexylingerie/7576.jpg,Girls Sexy Lace Lingerie Black,"Product Name: <strong>Girls Sexy Lace Lingerie Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Lace<br>
Feature: Sexy Lace Lingerie, Hot Short. High Quality Product.
",,14,,0001-01-01,20,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 040,sexylingerie-us/sexylingerie/7580-4.jpg,Girls Ruffle Lingerie Black Purple,"Product Name: <strong>Girls Ruffle Lingerie Black Purple</strong><br>
Colors: Black/Purple<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Girls Hot Lingerie, Mesh Ruffle Rumba Boyshort.
