v_products_model,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_last_modified,v_specials_expires_date,v_products_price,v_products_weight,v_last_modified,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_categories_name_2,v_categories_name_3,v_categories_name_4,v_categories_name_5,v_categories_name_6,v_categories_name_7,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
- Single tank strap.
- Stretch Liquid Metal
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0
Patent Leather 038,sexylingerie-us/sexylingerie/9094.jpg,Sexy Black Patent Leather Costume Dress Set,"Product Name: <strong>Sexy Black Patent Leather Costume Dress Set</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Vinyl<br>
Feature: Black Belt buckle Vinyl Lingerie.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0
Patent Leather 039,sexylingerie-us/sexylingerie/9095.jpg,Elegant Black Patent Leather Costume Dress Set,"Product Name: <strong>Elegant Black Patent Leather Costume Dress Set</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Faux leather<br>
Feature: Mermaid Faux Leather Lingerie.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0
Patent Leather 040,sexylingerie-us/sexylingerie/9096.jpg,Elgant Black Leather Costume Dress Set,"Product Name: <strong>Elgant Black Leather Costume Dress Set</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: PU<br>
Feature: Gothic Punk PU Wetlook Clubwear.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0
Patent Leather 041,sexylingerie-us/sexylingerie/9097-1.jpg,Lovely Pink Patent Leather Costume Dress Set,"Product Name: <strong>Lovely Pink Patent Leather Costume Dress Set</strong><br>
Colors: Pink<br>
Sizes: One Size Fits Most<br>
Materials: 93%poly+7%elastano<br>
Feature: Sassy, one sleeve mini dress with zipper shoulder detail.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0
Patent Leather 042,sexylingerie-us/sexylingerie/9097-2.jpg,Black Patent Leather Costume Dress Set,"Product Name: <strong>Black Patent Leather Costume Dress Set</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: 93%poly+8%elastano<br>
Feature: Sassy, one sleeve mini dress with zipper shoulder detail.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0
Patent Leather 043,sexylingerie-us/sexylingerie/9098-3.jpg,Blue Patent Leather Costume Dress Set,"Product Name: <strong>Blue Patent Leather Costume Dress Set</strong><br>
Colors: Blue<br>
Sizes: One Size Fits Most<br>
Materials: 93%poly+7%elastano<br>
Feature: They won''t take their eyes off of you in this sexy tight mini dress with open shoulder sleeve detail, zip up bottom back and silver stud embellishments.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0
Patent Leather 044,sexylingerie-us/sexylingerie/9099.jpg,Sexy Shining Black Leather Lingerie Set,"Product Name: <strong>Sexy Shining Black Leather Lingerie Set</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Vinyl<br>
Feature: Sexy Shining Black Leather Lingerie Set.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0
Patent Leather 045,sexylingerie-us/sexylingerie/9100.jpg,Sexy Lingerie Corset Bustier Set Black 01,"Product Name: <strong>Sexy Lingerie Corset Bustier Set Black 01</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Vinyl<br>
Feature: Punk Stripper Dress.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0
Patent Leather 046,sexylingerie-us/sexylingerie/9101-1.jpg,Sexy Silver Pantent Leather Costume Dress Set,"Product Name: <strong>Sexy Silver Pantent Leather Costume Dress Set</strong><br>
Colors: Silver<br>
Sizes: One Size Fits Most<br>
Materials: Vinyl<br>
Feature: Front Diamond Accessories Club Jumpsuit.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0
Patent Leather 047,sexylingerie-us/sexylingerie/9101-2.jpg,Elegant Black Pantent Leather Costume Dress Set,"Product Name: <strong>Elegant Black Pantent Leather Costume Dress Set</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Vinyl<br>
Feature: Front Diamond Accessories Black Club Jumpsuit.
",,28,,,48,,,,555,,Patent Leather,,,,,,,--none--,1,0,1,0,1,0
